index,corso_laurea,anno,post_unirsm,oggi_sei,soddisfazione,lavoro_design,occupazione,parole_chiavi,voto_unirsm,amore_trovato,amore_corrisposto,amore_oggi,figli,quanti_figli
44,Triennale,2015,Non ho proseguito gli studi,Stagista,4,Si,Progettazione di interni; Allestimento,"Progettazione, conpet, collaborazione ",6,No,,,No,
45,Triennale,2015,Non ho proseguito gli studi,Disoccupato,,Attualmente non sto lavorando,Marketing e Advertising; Fotografia,,7,No,,,No,
46,Triennale,2015,Non ho proseguito gli studi,Libero professionista,10,Si,Marketing e Advertising; Video e multimedia,Motion graphic designer,8,No,No,No,No,
47,Triennale,2015,Magistrale (non Unirsm),Sto ancora studiando,5,Si,Sviluppo web e app; Fotografia,,5,No,No,No,No,
48,Triennale,2015,Non ho proseguito gli studi,Dipendente,9,Si,Illustrazione; Editoria,,7,,,,,
49,Triennale,2011,Non ho proseguito gli studi,Dipendente,8,Si,Design engineering; Lighting design,"Prototipazione, efficacia, funzionalità",9,Si,Si,Si,No,
50,Magistrale,2012,Non ho proseguito gli studi,Dipendente,8,Si,Interaction design; Service design,"User Centred Design, Metodologia, Team multidisciplinare",8,Si,Si,Si,No,
51,Triennale,2012,Magistrale (non Unirsm),Dipendente,8,Si,Sviluppo web e app; Interaction design,"Experience, smart, system",9,No,No,No,No,
52,Triennale,2014,Non ho proseguito gli studi,Dipendente,8,No,Marketing e Advertising; Project mangement,"Ecommerce, visual merchandising, shooting",10,No,No,No,No,
53,Magistrale,2012,Non ho proseguito gli studi,Dipendente,10,Si,Interaction design; Ricerca e sviluppo in azienda,"Design Thinking, Design Sprint, UX e UI",8,No,No,No,No,
54,Triennale,2008,Corso di specializzazione,Dipendente,9,No,Illustrazione; Editoria,Redattrice di documentazione tecnica e manualistica,6,No,No,No,No,
55,Triennale,2008,Non ho proseguito gli studi,Libero professionista,9,Si,Marketing e Advertising; Social media management,,10,No,,,Si,1
